mission_id,operation_name,approach_type,team_size,month,vessel_type,vessel_size,distance_achieved_km,success,primary_threat,threat_encountered,minion_distraction_incident,outcome,key_factor,days_planning,budget_category,hero_interference
1,Operation_Silent_Sun,stealth,6,November,space_capsule,small,148500000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,45,classified,0
2,Operation_Thermal_Cloak,infiltration,7,November,drone_swarm,small,147800000,1,detection,0,0,mission_success,stealth_approach,52,classified,0
3,Operation_November_Run,stealth,5,November,space_capsule,small,149000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,60,classified,0
4,Operation_Shrink_Protocol,orbital_approach,8,November,rocket,medium,146000000,1,hero_interference,0,0,mission_success,proper_extraction_plan,55,lavish,0
5,Operation_Dark_Window,stealth,6,November,space_capsule,small,148000000,1,detection,0,0,mission_success,timing_optimization,48,classified,1
6,Operation_Sunburst,infiltration,7,November,drone_swarm,small,147500000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,58,classified,0
7,Operation_Solaris_Grab,orbital_approach,5,November,space_capsule,small,148900000,1,detection,0,0,mission_success,small_team_efficiency,43,lavish,0
8,Operation_Helio_Strike,stealth,8,November,rocket,medium,145000000,1,solar_radiation,0,0,mission_success,thorough_pre_mission_data_analysis,50,classified,0
9,Operation_Star_Reach,orbital_approach,6,November,space_capsule,small,149200000,1,hero_interference,1,0,mission_success,proper_extraction_plan,62,lavish,1
10,Operation_Corona_Breach,stealth,7,November,drone_swarm,small,147000000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,55,classified,0
11,Operation_Solar_Siege,infiltration,5,November,space_capsule,small,148700000,1,solar_radiation,1,0,mission_success,stealth_approach,47,classified,0
12,Operation_Yellow_Day,orbital_approach,6,November,space_capsule,medium,146500000,1,detection,0,0,mission_success,timing_optimization,53,lavish,0
13,Operation_Sun_Chase,direct_assault,12,November,rocket,large,25000000,0,hero_interference,1,1,failed_hero,minion_discipline,30,moderate,1
14,Operation_Nova_Plan,stealth,18,November,aircraft,large,8000000,0,detection,1,1,failed_detection,stealth_approach,20,lavish,0
15,Operation_Helio_Fail,direct_assault,20,November,rocket,massive,15000000,0,minion_distraction,1,1,failed_distraction,advanced_tech,15,lavish,0
16,Operation_Burn_Run,orbital_approach,4,November,weather_balloon,small,50000000,0,solar_radiation,1,0,failed_technical,timing_optimization,12,minimal,0
17,Operation_Hot_Zone,infiltration,15,November,aircraft,large,30000000,0,hero_interference,1,1,failed_hero,thorough_pre_mission_data_analysis,25,lavish,1
18,Operation_Flash_Grab,direct_assault,22,November,rocket,massive,5000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,10,lavish,0
19,Operation_Arc_Light,stealth,10,November,drone_swarm,medium,70000000,0,detection,1,1,failed_detection,stealth_approach,35,moderate,0
20,Operation_Sunfall,underground_route,3,November,submarine,small,2000000,0,technical_failure,1,0,failed_technical,advanced_tech,8,minimal,0
21,Operation_Ghost_Approach,stealth,6,March,space_capsule,small,145000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,50,classified,0
22,Operation_Covert_Burn,infiltration,7,July,drone_swarm,small,143000000,1,detection,0,0,mission_success,small_team_efficiency,45,moderate,0
23,Operation_Quiet_Sun,stealth,5,February,space_capsule,small,147000000,1,hero_interference,0,0,mission_success,proper_extraction_plan,55,lavish,0
24,Operation_Apex_Run,orbital_approach,8,September,rocket,medium,140000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,48,classified,0
25,Operation_Micro_Strike,stealth,6,April,space_capsule,small,148000000,1,detection,0,0,mission_success,stealth_approach,52,classified,0
26,Operation_Nimble_Seven,infiltration,7,January,drone_swarm,small,144000000,1,hero_interference,1,0,mission_success,small_team_efficiency,42,moderate,1
27,Operation_Swift_Grab,stealth,5,June,space_capsule,small,146000000,1,solar_radiation,0,0,mission_success,thorough_pre_mission_data_analysis,58,classified,0
28,Operation_Shadow_Six,orbital_approach,6,August,rocket,small,142000000,1,detection,0,0,mission_success,timing_optimization,40,moderate,0
29,Operation_Phantom_Eight,stealth,8,October,space_capsule,small,147500000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,60,classified,0
30,Operation_Lean_Team,infiltration,5,May,drone_swarm,small,143500000,1,detection,0,0,mission_success,small_team_efficiency,44,moderate,0
31,Operation_Compact_Run,stealth,7,December,space_capsule,small,146500000,1,hero_interference,0,0,mission_success,proper_extraction_plan,50,lavish,0
32,Operation_Six_Star,orbital_approach,6,February,rocket,small,141000000,1,solar_radiation,1,0,mission_success,thorough_pre_mission_data_analysis,55,classified,0
33,Operation_Five_Strong,stealth,5,July,space_capsule,small,148000000,1,detection,0,0,mission_success,stealth_approach,47,moderate,0
34,Operation_Elite_Squad,infiltration,7,March,drone_swarm,small,144000000,1,hero_interference,1,0,mission_success,small_team_efficiency,43,moderate,1
35,Operation_Minimal_Force,stealth,6,October,space_capsule,small,145500000,1,solar_radiation,0,0,mission_success,timing_optimization,51,classified,0
36,Operation_Target_Sun,orbital_approach,8,April,rocket,medium,140500000,1,detection,0,0,mission_success,thorough_pre_mission_data_analysis,56,classified,0
37,Operation_Precision_Strike,stealth,5,August,space_capsule,small,147000000,1,solar_radiation,1,0,mission_success,stealth_approach,49,classified,0
38,Operation_Compact_Squad,infiltration,7,January,drone_swarm,small,143000000,1,detection,0,0,mission_success,small_team_efficiency,41,moderate,0
39,Operation_Solo_Shot,stealth,6,March,space_capsule,small,40000000,0,detection,1,1,failed_detection,stealth_approach,20,moderate,0
40,Operation_Fast_Five,direct_assault,5,September,rocket,small,15000000,0,hero_interference,1,1,failed_hero,advanced_tech,12,moderate,1
41,Operation_Small_Fail,infiltration,7,June,drone_swarm,small,25000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,18,minimal,0
42,Operation_Mini_Mess,stealth,8,February,space_capsule,small,35000000,0,technical_failure,1,1,failed_technical,timing_optimization,15,minimal,0
43,Operation_Tiny_Force,orbital_approach,6,July,rocket,small,20000000,0,solar_radiation,1,1,failed_technical,advanced_tech,10,minimal,0
44,Operation_Squad_Six,stealth,5,January,space_capsule,small,45000000,0,detection,1,1,failed_detection,stealth_approach,22,moderate,0
45,Operation_Light_Team,infiltration,7,August,drone_swarm,small,30000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,17,minimal,0
46,Operation_Quick_Fail,stealth,6,October,space_capsule,small,10000000,0,hero_interference,1,1,failed_hero,timing_optimization,8,moderate,1
47,Operation_Slim_Run,direct_assault,5,April,rocket,small,18000000,0,minion_distraction,1,1,failed_distraction,minion_discipline,14,minimal,0
48,Operation_Small_Squad,stealth,8,December,space_capsule,small,28000000,0,detection,1,0,failed_detection,stealth_approach,20,moderate,0
49,Operation_Lite_Strike,infiltration,6,May,drone_swarm,small,22000000,0,minion_distraction,1,1,failed_distraction,small_team_efficiency,16,minimal,0
